,type,ext_id,attributes.name,attributes.bundleId,attributes.sku,attributes.primaryLocale
0,apps,1439176833,"Kids Math 1st, 2nd, 3rd Grade",skidos.rabbitrescue,000075,en-US
1,apps,1326861131,"Addition, Subtraction for Kids",skidos.surffun,000059,en-US
2,apps,1565994951,Roll That Ball Game,skidos.ball.slide.kids.puzzle.game,000111,en-US
3,apps,1506886061,Doctor Games: for Kids,skidos.preschool.kids.doctor.game,000092,en-US
4,apps,1497549298,Fun Games: Kids Preschool Math,skidos.shopping.toddler.learning.games,000089,en-US
5,apps,1483744837,Learning Games: For Kids,skidos.pepi.kindergarten.preschool.learning.kids.games,000084,en-US
6,apps,1407833333,Preschool Learning Games: Kids,skidos.bakery,68,en-US
7,apps,1549247908,SKIDOS Learning Fantasy World,skidos.learning.fantasy.world.kids.games,000104,en-US
8,apps,1557244765,Toddler Puzzle: Games for Kids,skidos.baby.blocks.puzzle.toddlers,000110,en-US
9,apps,1217419691,Learning Games: 1st-3rd Grade,skidos.brainycity,0000029,en-US
10,apps,1354403299,Fun Math Games: 1st- 4th Grade,skidos.skiers,000067,en-US
11,apps,1550949775,Coloring games: for kids 2-6,skidos.toddler.coloring.game,000105,en-US
12,apps,1084717373,Milk Hunt 2,skidos.milkhuntschool,0008,en-US
13,apps,1131180154,Hop Star : Visual Math Game for Grade 1 to 5 Kids,skidos.hopstarmath,0009,en-US
14,apps,1159612010,4th Grade Math Learning Games,skidos.flyingsuperstars,000013,en-US
15,apps,1166311614,Hop Star: Kids Learning Games,skidos.hopstarmathfree,000015,en-US
16,apps,1166540847,Math Games: 1st Grade Learning,skidos.turboriders,000016,en-US
17,apps,1178677773,Ultimate Hoppers,skidos.ultimatehoppers,000021,en-US
18,apps,1179727426,SKIDOS Smart Lumberjack Games,skidos.smartlumberjack,000022,en-GB
19,apps,1179727768,Cool Maths Game for Kids: Boat,skidos.savetheboat,000023,en-GB
20,apps,1242297706,SKIDOS Smash Wizards Fun Game,com.skidos.smashwizards,0000038,en-US
21,apps,1247757755,Bear Math Games for Children,skidos.smartbearboo,000040,en-US
22,apps,1247974271,Grumpy Tree??,skidos.grumpytree,000041,en-US
23,apps,1255125432,Skidos Test,skidos.sdk,000020,en-US
24,apps,1311530917,"Water Games 3rd,4th Grade Math",skidos.waterhero,000050,en-US
25,apps,1311555637,Elementary Mental Math Games,skidos.fuelmyparty,000051,en-US
26,apps,1319262047,Not in USE Sleepy Elephant,skidos.sleepyelephant,000054,en-US
27,apps,1319262120,Cool Math Games : Kids Racing,skidos.bikeracing,000053,en-US
28,apps,1319857156,Fly Kids: Multiplication Games,skidos.penguinflyer,000056,en-US
29,apps,1319857240,Wild west fish:Educational Fun,skidos.chilihunt,000055,en-US
30,apps,1319880202,Birds Games : Elementary Math,skidos.tiltedbirds,000058,en-US
31,apps,1326860594,Run: Fun Math Games CoolMath,skidos.runners,000057,en-US
32,apps,1335962714,Flower Math Fun Games For Kids,skidos.flowermatch,000060,en-US
33,apps,1335963916,Math Games: 1st-4th Grade Kids,skidos.streetsoccer,000061,en-US
34,apps,1335964217,"First,Second,Third Grade Games",skidos.axeman,000062,en-US
35,apps,1335964262,Reflex Games: Operation Math,skidos.pirates,000064,en-US
36,apps,1335964342,My Math Facts Flash Cards Kids,skidos.boyonthewhale,000063,en-US
37,apps,1336999554,SKIDOS Chunky Cat Math Games,skidos.chunkycat,000065,en-US
38,apps,1342172701,SKIDOS Diamond Friends kids,skidos.diamondfriends,000066,en-US
39,apps,1353780893,Skidos R C,skidos.racecars,640000,en-US
40,apps,1355644438,"Cool Math Games For Girls,Boys",skidos.racecars1,000068,en-US
41,apps,1362671144,Kids Games: My Math Fun Train,skidos.train,000069,en-US
42,apps,1420405518,ABC Kids Spelling City Games,skidos.town,000070,en-US
43,apps,1421120099,Alphabet Kids Learning Games,skidos.fishing,000071,en-US
44,apps,1433884418,Math Games: 1st 2nd 3rd Grade,skidos.colorfriends,000073,en-US
45,apps,1435136336,Mix Animals,skidos.animalmix,000074,en-US
46,apps,1444879512,"Math Games for Kids,Boys,Girls",skidos.birdrun,000076,en-US
47,apps,1463178155,Not in Use Elephant,skidos.cool.math.games.2nd.3rd.4th.grades,000087,en-US
48,apps,1463179487,Not Used Hungry Cat,skidos.kids.math.games.addition.subtraction,000088,en-US
49,apps,1463530370,Not USED Math Elephant,skidos.elephant.cool.math.games.2nd.3rd.4th.grades,000081,en-US
50,apps,1463532071,Kids Learning Games: 6-9 Years,skidos.hungrycat.kids.math.games.addition.subtraction,000082,en-US
51,apps,1465695498,Elephant Math Games for Kids,skidos.elephant.cool.math.games.second.third.fourth.grades,000083,en-US
52,apps,1494699802,Math Jump: Kids Splash Games,skidos.arcade.kids.math.games,000085,en-US
53,apps,1495346509,Educational Games: For Kids,skidos.cliff.kids.learning.games,000086,en-US
54,apps,1501815165,Kids Toddlers Coloring Game,skidos.toddler.kid.coloring.game,000090,en-US
55,apps,1506168813,Toddler Pre-K Learning Games,skidos.toddler.kid.forest.game,000091,en-US
56,apps,1508131976,Animal Coloring for Toddlers,skidos.toddlers.coloring.games,000093,en-US
57,apps,1508132149,Coloring Art Book for Kids,skidos.preschool.kids.coloring.books.games,000094,en-US
58,apps,1508132745,Toddler Farm Animals Puzzles,skidos.kids.animal.puzzles.games,000095,en-US
59,apps,1513921446,SKIDOS SDK TEST 3,sdktest3.skidos.com,skidostest3.skidos.com,en-US
60,apps,1513921700,SKIDOS SDK TEST 4,sdktest4.skidos.com,skidostest4.skidos.com,en-US
61,apps,1514359278,NEW SKIDOS SDK TEST 3,skidos.sdktest3,000096,en-US
62,apps,1516982425,SKIDOS Prototyping,prototype.skidos.com,prototype.skidos.com,en-US
63,apps,1517802224,Draw Tiles Logic Game,skidos.kids.drawing.logic.games,000097,en-US
64,apps,1517828349,Airplane Games for Kids,skidos.plane.kids.preschool.games,000098,en-US
65,apps,1518002275,"Toddler Games: 2,3,4 Year Olds",skidos.toddler.shapes.learning.games,000099,en-US
66,apps,1532204634,Fairy Tales: Kids Storybook,skidos.fairy.tales,000100,en-US
67,apps,1533428175,Educational Games - For Kids,skidos.animal.forest.games,000101,en-US
68,apps,1536944131,Multiplication Games for Kids,skidos.sea.monsters.kids,000102,en-US
69,apps,1549224321,Matching Games for Kids,skidos.sorting.puzzles.kids,000103,en-US
70,apps,1550949952,"Building Games for Kids 3,4,5+",skidos.construction.car.train.kids,000106,en-US
71,apps,1551104363,Toddler Shapes Game: Learning,skidos.toddler.smart.shapes,000107,en-US
72,apps,1551104516,Matching Puzzles for Kids 3+,skidos.fairy.baby.bocks.game,000108,en-US
73,apps,1551104686,Kids Building & Learning Games,skidos.construction.set.kids,000109,en-US
74,apps,733707729,"Milk Hunt: Fun Kids Math Learning Game for Grade 1 to 5 to Practice Addition, Subtraction, Multiplication, Division, Fractions & Decimals!",skidos.milkhunt,0001,en-US
75,apps,906245761,Math Learning Games: For Kids,skidos.milkhuntgame,0002,en-US
