,Unnamed: 0_x,type,ext_id,attributes.name,attributes.bundleId,attributes.sku,attributes.primaryLocale,Unnamed: 0_y,count_reviews,created,store,app.genre,app.title,app.artist_name,app.version,app.country,app.release_date,app.id,app.has_iap,app.icon
0,0,apps,1439176833,"Kids Math 1st, 2nd, 3rd Grade",skidos.rabbitrescue,000075,en-US,14.0,12.0,2019-03-14 19:04:57,itunes,Education,"Kids Math 1st, 2nd, 3rd Grade",Skidos Learning,4.4,us,2020-11-17,430292.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/b3/c1/02/b3c1023a-b277-9952-d77a-09e360e10386/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
1,1,apps,1326861131,"Addition, Subtraction for Kids",skidos.surffun,000059,en-US,20.0,33.0,2019-03-14 19:05:11,itunes,Education,"Addition, Subtraction for Kids",Skidos Learning,4.4,us,2020-12-03,430304.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/f5/f2/09/f5f2096d-1354-fdbc-5a83-94160b2dea08/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
2,2,apps,1565994951,Roll That Ball Game,skidos.ball.slide.kids.puzzle.game,000111,en-US,,,,,,,,,,,,,
3,3,apps,1506886061,Doctor Games: for Kids,skidos.preschool.kids.doctor.game,000092,en-US,39.0,31.0,2020-04-23 11:21:12,itunes,Education,Doctor Games: for Kids,Skidos Learning,1.6,us,2021-01-22,739697.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/2b/d3/0e/2bd30eea-0826-b83a-dcd2-4ff70c8dfdad/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
4,4,apps,1497549298,Fun Games: Kids Preschool Math,skidos.shopping.toddler.learning.games,000089,en-US,36.0,50.0,2020-04-29 23:33:40,itunes,Education,Fun Games: Kids Preschool Math,Skidos Learning,2.9 (2),us,2021-01-28,693746.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/bd/c9/3c/bdc93c50-b228-ae9b-a8bf-a23d4fb81163/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
5,5,apps,1483744837,Learning Games: For Kids,skidos.pepi.kindergarten.preschool.learning.kids.games,000084,en-US,34.0,85.0,2019-11-01 08:35:31,itunes,Education,Learning Games: For Kids,Skidos Learning,3.1 (2),us,2021-01-26,594653.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/7e/70/bd/7e70bd46-bc1f-6911-a966-0cf32e13a49e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
6,6,apps,1407833333,Preschool Learning Games: Kids,skidos.bakery,68,en-US,17.0,19.0,2019-03-14 19:05:06,itunes,Education,Preschool Learning Games: Kids,Skidos Learning,23.4,us,2021-01-23,430298.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple124/v4/8e/02/f9/8e02f9ac-eea4-fdb1-820f-b85d890148f5/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
7,7,apps,1549247908,SKIDOS Learning Fantasy World,skidos.learning.fantasy.world.kids.games,000104,en-US,60.0,1.0,2021-02-14 19:30:03,itunes,Education,SKIDOS Learning Fantasy World,Skidos Learning,1.0,us,2021-02-14,1047054.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/63/2c/14/632c149b-ad5e-05a6-591a-10181549f3dd/AppIcon-1x_U007emarketing-0-7-0-85-220.png/53x53bb.png
8,8,apps,1557244765,Toddler Puzzle: Games for Kids,skidos.baby.blocks.puzzle.toddlers,000110,en-US,64.0,0.0,2021-04-09 11:38:06,itunes,Education,Toddler Puzzle: Games for Kids,Skidos Learning,1.0,us,2021-04-08,1388489.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/f7/16/d1/f716d184-a80b-a60d-704a-7ae0b9465dda/AppIcon-1x_U007emarketing-0-7-0-85-220.png/53x53bb.png
9,9,apps,1217419691,Learning Games: 1st-3rd Grade,skidos.brainycity,0000029,en-US,7.0,89.0,2019-03-02 22:21:59,itunes,Education,Learning Games: 1st-3rd Grade,Skidos Learning,5.6,us,2020-12-16,423710.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/50/c2/cb/50c2cb54-ed01-53c9-fa31-d94817dc1b0a/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
10,10,apps,1354403299,Fun Math Games: 1st- 4th Grade,skidos.skiers,000067,en-US,9.0,59.0,2019-03-02 22:27:19,itunes,Education,Fun Math Games: 1st- 4th Grade,Skidos Learning,2.5,us,2020-12-02,423714.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/e5/e3/45/e5e345ac-0229-56bb-0ddf-992f02760c67/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
11,11,apps,1550949775,Coloring games: for kids 2-6,skidos.toddler.coloring.game,000105,en-US,,,,,,,,,,,,,
12,12,apps,1084717373,Milk Hunt 2,skidos.milkhuntschool,0008,en-US,,,,,,,,,,,,,
13,13,apps,1131180154,Hop Star : Visual Math Game for Grade 1 to 5 Kids,skidos.hopstarmath,0009,en-US,,,,,,,,,,,,,
14,14,apps,1159612010,4th Grade Math Learning Games,skidos.flyingsuperstars,000013,en-US,58.0,6.0,2021-02-13 21:41:35,itunes,Education,4th Grade Math Learning Games,Skidos Learning,3.0,us,2021-02-19,1044085.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/c9/b5/c3/c9b5c365-9485-5496-6342-3e3f4395bf7f/AppIcon-1x_U007emarketing-0-7-0-85-220.png/53x53bb.png
15,15,apps,1166311614,Hop Star: Kids Learning Games,skidos.hopstarmathfree,000015,en-US,19.0,745.0,2021-01-06 14:53:56,itunes,Education,Hop Star: Kids Learning Games,Skidos Learning,2.2.2,us,2018-08-02,430302.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/63/9d/d3/639dd362-7728-84e8-198d-6266e2266b48/AppIcon-1x_U007emarketing-0-85-220-0-8.png/53x53bb.png
16,16,apps,1166540847,Math Games: 1st Grade Learning,skidos.turboriders,000016,en-US,35.0,0.0,2020-01-30 16:18:15,itunes,Education,Math Games: 1st Grade Learning,Skidos Learning,3.3,us,2020-10-29,665167.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/66/60/96/666096ff-b6b8-1f57-2968-2663bdf0e1b2/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
17,17,apps,1178677773,Ultimate Hoppers,skidos.ultimatehoppers,000021,en-US,,,,,,,,,,,,,
18,18,apps,1179727426,SKIDOS Smart Lumberjack Games,skidos.smartlumberjack,000022,en-GB,,,,,,,,,,,,,
19,19,apps,1179727768,Cool Maths Game for Kids: Boat,skidos.savetheboat,000023,en-GB,29.0,6.0,2020-05-29 12:19:17,itunes,Education,"Cool Math Games For Boys,Girls",Skidos Learning,5.2,us,2020-09-29,438711.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/84/2b/4d/842b4d00-f0fe-c72a-3cb0-13edc549c9f6/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
20,20,apps,1242297706,SKIDOS Smash Wizards Fun Game,com.skidos.smashwizards,0000038,en-US,,,,,,,,,,,,,
21,21,apps,1247757755,Bear Math Games for Children,skidos.smartbearboo,000040,en-US,23.0,5.0,2019-05-01 16:43:37,itunes,Education,Bear Math Games for Children,Skidos Learning,6.1,us,2020-09-13,430314.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/aa/04/6f/aa046fb0-58b0-db44-65f1-b2aae9c8355b/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
22,22,apps,1247974271,Grumpy Tree??,skidos.grumpytree,000041,en-US,,,,,,,,,,,,,
23,23,apps,1255125432,Skidos Test,skidos.sdk,000020,en-US,,,,,,,,,,,,,
24,24,apps,1311530917,"Water Games 3rd,4th Grade Math",skidos.waterhero,000050,en-US,21.0,3.0,2021-01-04 15:09:06,itunes,Education,"Water Games 3rd,4th Grade Math",Skidos Learning,2.6,us,2019-06-28,430308.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/cf/e1/47/cfe147ee-b96a-9e52-6ec7-8f008f8e6790/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-9.png/53x53bb.png
25,25,apps,1311555637,Elementary Mental Math Games,skidos.fuelmyparty,000051,en-US,13.0,9.0,2019-10-16 16:16:07,itunes,Education,Elementary Mental Math Games,Skidos Learning,7.1,us,2020-09-29,430159.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/21/2d/ac/212dace5-6c56-1320-081c-3f950f96067b/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
26,26,apps,1319262047,Not in USE Sleepy Elephant,skidos.sleepyelephant,000054,en-US,,,,,,,,,,,,,
27,27,apps,1319262120,Cool Math Games : Kids Racing,skidos.bikeracing,000053,en-US,5.0,184.0,2019-03-01 01:01:53,itunes,Education,Cool Math Games : Kids Racing,Skidos Learning,5.2,us,2020-12-15,385829.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/af/47/0b/af470b7b-9aab-557b-8de0-2810de935fd7/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
28,28,apps,1319857156,Fly Kids: Multiplication Games,skidos.penguinflyer,000056,en-US,24.0,2.0,2021-01-06 15:01:03,itunes,Education,Fly Kids: Multiplication Games,Skidos Learning,1.4,us,2019-07-04,430316.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/a7/9b/19/a79b194a-0641-b708-d58b-d1de6c0644ec/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-9.png/53x53bb.png
29,29,apps,1319857240,Wild west fish:Educational Fun,skidos.chilihunt,000055,en-US,26.0,4.0,2021-01-06 14:57:12,itunes,Education,Chili Hunt : Educational Games,Skidos Learning,2.0,us,2018-10-20,430322.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/fd/70/23/fd70238c-1bf5-d446-2cb5-ecc772f3f16f/AppIcon-1x_U007emarketing-85-220-6.png/53x53bb.png
30,30,apps,1319880202,Birds Games : Elementary Math,skidos.tiltedbirds,000058,en-US,,,,,,,,,,,,,
31,31,apps,1326860594,Run: Fun Math Games CoolMath,skidos.runners,000057,en-US,16.0,35.0,2019-03-14 19:05:05,itunes,Games,Run: Fun Math Games CoolMath,Skidos Learning,3.3.(1),us,2020-06-22,430296.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/d2/d5/7f/d2d57ff7-ef4d-20f2-4ca6-41ebc792ca1a/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
32,32,apps,1335962714,Flower Math Fun Games For Kids,skidos.flowermatch,000060,en-US,,,,,,,,,,,,,
33,33,apps,1335963916,Math Games: 1st-4th Grade Kids,skidos.streetsoccer,000061,en-US,8.0,42.0,2019-03-02 22:27:04,itunes,Education,Math Games: 1st-4th Grade Kids,Skidos Learning,3.5,us,2020-12-19,423712.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/ca/a9/7e/caa97ed3-fd3c-6792-eef5-c2e4c4763d35/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
34,34,apps,1335964217,"First,Second,Third Grade Games",skidos.axeman,000062,en-US,25.0,7.0,2019-03-14 19:05:19,itunes,Education,"First,Second,Third Grade Games",Skidos Learning,4.5,us,2020-10-17,430320.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple124/v4/32/62/51/32625173-2023-97ad-e573-5e151dcc90de/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
35,35,apps,1335964262,Reflex Games: Operation Math,skidos.pirates,000064,en-US,22.0,13.0,2019-06-06 20:17:09,itunes,Education,Reflex Games: Operation Math,Skidos Learning,4.7,us,2020-10-22,430310.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/c4/d4/66/c4d466bd-f03b-3021-135e-e92ef2ea30bf/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
